step,y,x,action,next_y,next_x,reward,done
0,0,0,1,1,0,0,False
1,1,0,0,0,0,0,False
2,0,0,0,0,0,0,False
3,0,0,3,0,0,0,False
4,0,0,3,0,0,0,False
5,0,0,2,0,0,0,False
6,0,0,1,1,0,0,False
7,1,0,1,2,0,0,False
8,2,0,1,3,0,0,False
9,3,0,3,3,0,0,False
10,3,0,0,2,0,0,False
11,2,0,0,1,0,0,False
12,1,0,1,2,0,0,False
13,2,0,0,1,0,0,False
14,1,0,1,2,0,0,False
15,2,0,0,1,0,0,False
16,1,0,0,0,0,0,False
17,0,0,1,1,0,0,False
18,1,0,2,1,0,0,False
19,1,0,1,2,0,0,False
20,2,0,2,2,0,0,False
21,2,0,2,2,0,0,False
22,2,0,3,2,1,0,False
23,2,1,1,2,1,0,False
24,2,1,3,2,2,0,False
25,2,2,0,1,2,0,False
26,1,2,1,2,2,0,False
27,2,2,2,2,1,0,False
28,2,1,3,2,2,0,False
29,2,2,2,2,1,0,False
30,2,1,3,2,2,0,False
31,2,2,0,1,2,0,False
32,1,2,1,2,2,0,False
33,2,2,3,2,3,0,False
34,2,3,3,2,4,0,False
35,2,4,2,2,3,0,False
36,2,3,0,2,3,0,False
37,2,3,2,2,2,0,False
38,2,2,0,1,2,0,False
39,1,2,1,2,2,0,False
40,2,2,3,2,3,0,False
41,2,3,3,2,4,0,False
42,2,4,2,2,3,0,False
43,2,3,1,2,3,0,False
44,2,3,1,2,3,0,False
45,2,3,2,2,2,0,False
46,2,2,0,1,2,0,False
47,1,2,1,2,2,0,False
48,2,2,1,2,2,0,False
49,2,2,3,2,3,0,False
50,2,3,2,2,2,0,False
51,2,2,1,2,2,0,False
52,2,2,3,2,3,0,False
53,2,3,3,2,4,0,False
54,2,4,0,2,4,0,False
55,2,4,3,2,4,0,False
56,2,4,1,3,4,0,False
57,3,4,1,4,4,0,False
58,4,4,3,4,4,0,False
59,4,4,0,3,4,0,False
60,3,4,2,3,4,0,False
61,3,4,3,3,4,0,False
62,3,4,2,3,4,0,False
63,3,4,2,3,4,0,False
64,3,4,1,4,4,0,False
65,4,4,0,3,4,0,False
66,3,4,1,4,4,0,False
67,4,4,2,4,3,0,False
68,4,3,3,4,4,0,False
69,4,4,0,3,4,0,False
70,3,4,1,4,4,0,False
71,4,4,0,3,4,0,False
72,3,4,3,3,4,0,False
73,3,4,2,3,4,0,False
76,3,4,3,3,4,0,False
77,3,4,3,3,4,0,False
80,4,4,2,4,3,0,False
81,4,3,3,4,4,0,False
82,4,4,2,4,3,0,False
83,4,3,0,4,3,0,False
84,4,3,0,4,3,0,False
85,4,3,1,5,3,0,False
86,5,3,1,5,3,0,False
87,5,3,3,5,4,0,False
88,5,4,0,4,4,0,False
89,4,4,3,4,4,0,False
90,4,4,1,5,4,0,False
91,5,4,0,4,4,0,False
92,4,4,2,4,3,0,False
93,4,3,3,4,4,0,False
95,4,3,2,4,3,0,False
96,4,3,1,5,3,0,False
97,5,3,3,5,4,0,False
98,5,4,1,5,4,0,False
99,5,4,2,5,3,0,False
100,5,3,0,4,3,0,False
101,4,3,1,5,3,0,False
102,5,3,0,4,3,0,False
103,4,3,0,4,3,0,False
104,4,3,3,4,4,0,False
106,3,4,0,2,4,0,False
107,2,4,2,2,3,0,False
108,2,3,1,2,3,0,False
109,2,3,0,2,3,0,False
110,2,3,1,2,3,0,False
111,2,3,2,2,2,0,False
114,2,2,1,2,2,0,False
115,2,2,2,2,1,0,False
116,2,1,2,2,0,0,False
117,2,0,0,1,0,0,False
118,1,0,3,1,0,0,False
119,1,0,3,1,0,0,False
120,1,0,2,1,0,0,False
121,1,0,2,1,0,0,False
122,1,0,2,1,0,0,False
123,1,0,3,1,0,0,False
124,1,0,0,0,0,0,False
125,0,0,2,0,0,0,False
126,0,0,2,0,0,0,False
127,0,0,0,0,0,0,False
128,0,0,3,0,0,0,False
129,0,0,2,0,0,0,False
130,0,0,3,0,0,0,False
132,0,0,0,0,0,0,False
133,0,0,0,0,0,0,False
136,0,0,1,1,0,0,False
138,2,0,3,2,1,0,False
139,2,1,2,2,0,0,False
140,2,0,3,2,1,0,False
141,2,1,0,2,1,0,False
142,2,1,1,2,1,0,False
143,2,1,2,2,0,0,False
144,2,0,2,2,0,0,False
145,2,0,2,2,0,0,False
146,2,0,1,3,0,0,False
147,3,0,3,3,0,0,False
148,3,0,1,4,0,0,False
149,4,0,1,5,0,0,False
150,5,0,2,5,0,0,False
151,5,0,3,5,1,0,False
152,5,1,2,5,0,0,False
153,5,0,1,5,0,0,False
154,5,0,2,5,0,0,False
155,5,0,1,5,0,0,False
156,5,0,0,4,0,0,False
157,4,0,1,5,0,0,False
158,5,0,3,5,1,0,False
159,5,1,2,5,0,0,False
160,5,0,2,5,0,0,False
161,5,0,3,5,1,0,False
162,5,1,0,4,1,0,False
163,4,1,1,5,1,0,False
164,5,1,3,5,2,0,False
165,5,2,1,5,2,0,False
166,5,2,1,5,2,0,False
167,5,2,0,5,2,0,False
168,5,2,0,5,2,0,False
169,5,2,2,5,1,0,False
170,5,1,2,5,0,0,False
171,5,0,1,5,0,0,False
172,5,0,2,5,0,0,False
174,5,0,1,5,0,0,False
175,5,0,3,5,1,0,False
176,5,1,2,5,0,0,False
178,5,1,0,4,1,0,False
179,4,1,3,4,1,0,False
180,4,1,3,4,1,0,False
181,4,1,3,4,1,0,False
182,4,1,3,4,1,0,False
