step,y,x,action,next_y,next_x,reward,done
0,4,0,0,3,0,0,False
1,3,0,1,4,0,0,False
2,4,0,0,3,0,0,False
3,3,0,2,3,0,0,False
4,3,0,1,4,0,0,False
5,4,0,1,4,0,0,False
6,4,0,2,4,0,0,False
7,4,0,0,3,0,0,False
8,3,0,1,4,0,0,False
9,4,0,1,4,0,0,False
10,4,0,3,4,1,0,False
11,4,1,1,4,1,0,False
12,4,1,3,4,1,0,False
13,4,1,3,4,1,0,False
14,4,1,1,4,1,0,False
15,4,1,1,4,1,0,False
16,4,1,1,4,1,0,False
17,4,1,2,4,0,0,False
18,4,0,1,4,0,0,False
19,4,0,1,4,0,0,False
20,4,0,0,3,0,0,False
21,3,0,1,4,0,0,False
22,4,0,2,4,0,0,False
23,4,0,3,4,1,0,False
24,4,1,2,4,0,0,False
25,4,0,2,4,0,0,False
26,4,0,2,4,0,0,False
27,4,0,0,3,0,0,False
28,3,0,1,4,0,0,False
29,4,0,3,4,1,0,False
30,4,1,1,4,1,0,False
31,4,1,2,4,0,0,False
32,4,0,3,4,1,0,False
33,4,1,3,4,1,0,False
34,4,1,2,4,0,0,False
35,4,0,1,4,0,0,False
36,4,0,3,4,1,0,False
37,4,1,0,3,1,0,False
38,3,1,1,4,1,0,False
39,4,1,0,3,1,0,False
40,3,1,1,4,1,0,False
41,4,1,1,4,1,0,False
42,4,1,0,3,1,0,False
43,3,1,2,3,0,0,False
44,3,0,2,3,0,0,False
45,3,0,0,2,0,0,False
46,2,0,3,2,1,0,False
47,2,1,1,3,1,0,False
48,3,1,1,4,1,0,False
49,4,1,0,3,1,0,False
50,3,1,3,3,1,0,False
51,3,1,1,4,1,0,False
52,4,1,1,4,1,0,False
53,4,1,3,4,1,0,False
54,4,1,3,4,1,0,False
55,4,1,3,4,1,0,False
56,4,1,0,3,1,0,False
57,3,1,3,3,1,0,False
58,3,1,3,3,1,0,False
59,3,1,3,3,1,0,False
60,3,1,1,4,1,0,False
61,4,1,3,4,1,0,False
62,4,1,3,4,1,0,False
63,4,1,2,4,0,0,False
64,4,0,0,3,0,0,False
65,3,0,2,3,0,0,False
66,3,0,2,3,0,0,False
67,3,0,1,4,0,0,False
68,4,0,3,4,1,0,False
69,4,1,3,4,1,0,False
70,4,1,1,4,1,0,False
71,4,1,1,4,1,0,False
72,4,1,0,3,1,0,False
73,3,1,3,3,1,0,False
74,3,1,0,2,1,0,False
75,2,1,1,3,1,0,False
76,3,1,2,3,0,0,False
77,3,0,0,2,0,0,False
78,2,0,3,2,1,0,False
79,2,1,2,2,0,0,False
80,2,0,3,2,1,0,False
81,2,1,0,1,1,0,False
82,1,1,1,2,1,0,False
83,2,1,0,1,1,0,False
84,1,1,3,1,1,0,False
85,1,1,2,1,0,0,False
86,1,0,2,1,0,0,False
87,1,0,1,2,0,0,False
88,2,0,0,1,0,0,False
89,1,0,0,0,0,0,False
90,0,0,2,0,0,0,False
91,0,0,1,1,0,0,False
92,1,0,1,2,0,0,False
93,2,0,0,1,0,0,False
94,1,0,1,2,0,0,False
95,2,0,3,2,1,0,False
96,2,1,1,3,1,0,False
97,3,1,0,2,1,0,False
98,2,1,3,2,2,0,False
99,2,2,3,2,3,0,False
100,2,3,1,3,3,0,False
101,3,3,3,3,4,0,False
102,3,4,2,3,3,0,False
103,3,3,2,3,3,0,False
104,3,3,1,4,3,0,False
105,4,3,1,4,3,0,False
106,4,3,2,4,3,0,False
107,4,3,1,4,3,0,False
108,4,3,0,3,3,0,False
109,3,3,0,2,3,0,False
110,2,3,1,3,3,0,False
111,3,3,3,3,4,0,False
112,3,4,0,2,4,0,False
113,2,4,2,2,3,0,False
114,2,3,0,1,3,0,False
115,1,3,2,1,3,0,False
116,1,3,1,2,3,0,False
117,2,3,2,2,2,0,False
118,2,2,2,2,1,0,False
119,2,1,2,2,0,0,False
120,2,0,3,2,1,0,False
121,2,1,0,1,1,0,False
122,1,1,2,1,0,0,False
123,1,0,2,1,0,0,False
124,1,0,0,0,0,0,False
125,0,0,1,1,0,0,False
126,1,0,2,1,0,0,False
127,1,0,0,0,0,0,False
128,0,0,3,0,1,0,False
129,0,1,0,0,1,0,False
130,0,1,1,1,1,0,False
131,1,1,2,1,0,0,False
132,1,0,3,1,1,0,False
133,1,1,3,1,1,0,False
134,1,1,1,2,1,0,False
135,2,1,0,1,1,0,False
136,1,1,3,1,1,0,False
137,1,1,1,2,1,0,False
138,2,1,0,1,1,0,False
139,1,1,2,1,0,0,False
140,1,0,1,2,0,0,False
141,2,0,2,2,0,0,False
142,2,0,0,1,0,0,False
143,1,0,3,1,1,0,False
144,1,1,0,0,1,0,False
145,0,1,2,0,0,0,False
146,0,0,1,1,0,0,False
147,1,0,1,2,0,0,False
148,2,0,2,2,0,0,False
149,2,0,2,2,0,0,False
150,2,0,3,2,1,0,False
151,2,1,0,1,1,0,False
152,1,1,3,1,1,0,False
153,1,1,2,1,0,0,False
154,1,0,2,1,0,0,False
155,1,0,3,1,1,0,False
156,1,1,1,2,1,0,False
157,2,1,2,2,0,0,False
158,2,0,2,2,0,0,False
159,2,0,2,2,0,0,False
160,2,0,3,2,1,0,False
161,2,1,1,3,1,0,False
162,3,1,2,3,0,0,False
163,3,0,0,2,0,0,False
164,2,0,2,2,0,0,False
165,2,0,1,3,0,0,False
166,3,0,1,4,0,0,False
167,4,0,1,4,0,0,False
168,4,0,0,3,0,0,False
169,3,0,0,2,0,0,False
170,2,0,2,2,0,0,False
171,2,0,3,2,1,0,False
172,2,1,2,2,0,0,False
173,2,0,2,2,0,0,False
174,2,0,3,2,1,0,False
175,2,1,0,1,1,0,False
176,1,1,3,1,1,0,False
177,1,1,0,0,1,0,False
178,0,1,2,0,0,0,False
179,0,0,1,1,0,0,False
180,1,0,1,2,0,0,False
181,2,0,2,2,0,0,False
182,2,0,3,2,1,0,False
183,2,1,2,2,0,0,False
