step,y,x,action,next_y,next_x,reward,done
0,13,0,2,13,0,0,False
1,13,0,1,13,0,0,False
2,13,0,1,13,0,0,False
3,13,0,1,13,0,0,False
4,13,0,3,13,1,0,False
5,13,1,3,13,1,0,False
6,13,1,1,13,1,0,False
7,13,1,2,13,0,0,False
8,13,0,3,13,1,0,False
9,13,1,2,13,0,0,False
10,13,0,0,12,0,0,False
11,12,0,1,13,0,0,False
12,13,0,1,13,0,0,False
13,13,0,2,13,0,0,False
14,13,0,1,13,0,0,False
15,13,0,1,13,0,0,False
16,13,0,3,13,1,0,False
17,13,1,2,13,0,0,False
18,13,0,3,13,1,0,False
19,13,1,0,12,1,0,False
20,12,1,1,13,1,0,False
21,13,1,3,13,1,0,False
22,13,1,3,13,1,0,False
23,13,1,0,12,1,0,False
24,12,1,2,12,0,0,False
25,12,0,1,13,0,0,False
26,13,0,2,13,0,0,False
27,13,0,3,13,1,0,False
28,13,1,0,12,1,0,False
29,12,1,1,13,1,0,False
30,13,1,3,13,1,0,False
31,13,1,1,13,1,0,False
32,13,1,3,13,1,0,False
33,13,1,2,13,0,0,False
34,13,0,3,13,1,0,False
35,13,1,2,13,0,0,False
36,13,0,0,12,0,0,False
37,12,0,1,13,0,0,False
38,13,0,1,13,0,0,False
39,13,0,3,13,1,0,False
40,13,1,2,13,0,0,False
41,13,0,1,13,0,0,False
42,13,0,0,12,0,0,False
43,12,0,1,13,0,0,False
44,13,0,0,12,0,0,False
45,12,0,3,12,1,0,False
46,12,1,0,12,1,0,False
47,12,1,2,12,0,0,False
48,12,0,1,13,0,0,False
49,13,0,2,13,0,0,False
50,13,0,0,12,0,0,False
51,12,0,3,12,1,0,False
52,12,1,3,12,2,0,False
53,12,2,2,12,1,0,False
54,12,1,2,12,0,0,False
55,12,0,1,13,0,0,False
56,13,0,3,13,1,0,False
57,13,1,2,13,0,0,False
58,13,0,1,13,0,0,False
59,13,0,1,13,0,0,False
60,13,0,1,13,0,0,False
61,13,0,2,13,0,0,False
62,13,0,3,13,1,0,False
63,13,1,0,12,1,0,False
64,12,1,3,12,2,0,False
65,12,2,3,12,3,0,False
