step,y,x,action,next_y,next_x,reward,done
0,13,11,3,13,11,0,False
1,13,11,3,13,11,0,False
2,13,11,0,12,11,0,False
3,12,11,2,12,10,0,False
4,12,10,1,13,10,0,False
5,13,10,3,13,11,0,False
6,13,11,2,13,10,0,False
7,13,10,1,13,10,0,False
8,13,10,1,13,10,0,False
9,13,10,1,13,10,0,False
10,13,10,2,13,10,0,False
11,13,10,0,12,10,0,False
12,12,10,0,11,10,0,False
13,11,10,1,12,10,0,False
14,12,10,3,12,11,0,False
15,12,11,3,12,11,0,False
16,12,11,0,12,11,0,False
17,12,11,2,12,10,0,False
18,12,10,3,12,11,0,False
19,12,11,0,12,11,0,False
20,12,11,2,12,10,0,False
21,12,10,3,12,11,0,False
22,12,11,0,12,11,0,False
23,12,11,3,12,11,0,False
24,12,11,2,12,10,0,False
25,12,10,2,12,10,0,False
26,12,10,3,12,11,0,False
28,12,10,1,13,10,0,False
29,13,10,0,12,10,0,False
31,12,11,3,12,11,0,False
34,12,11,0,12,11,0,False
35,12,11,3,12,11,0,False
38,12,10,0,11,10,0,False
39,11,10,1,12,10,0,False
40,12,10,0,11,10,0,False
41,11,10,2,11,10,0,False
42,11,10,0,10,10,0,False
43,10,10,3,10,11,0,False
44,10,11,1,10,11,0,False
45,10,11,0,9,11,0,False
46,9,11,2,9,10,0,False
47,9,10,0,8,10,0,False
48,8,10,3,8,10,0,False
49,8,10,1,9,10,0,False
50,9,10,2,9,10,0,False
51,9,10,0,8,10,0,False
52,8,10,2,8,10,0,False
53,8,10,1,9,10,0,False
54,9,10,1,10,10,0,False
55,10,10,1,11,10,0,False
56,11,10,2,11,10,0,False
57,11,10,3,11,10,0,False
58,11,10,1,12,10,0,False
59,12,10,0,11,10,0,False
60,11,10,1,12,10,0,False
61,12,10,1,13,10,0,False
62,13,10,3,13,11,0,False
63,13,11,3,13,11,0,False
64,13,11,1,13,11,0,False
65,13,11,3,13,11,0,False
66,13,11,0,12,11,0,False
72,12,11,1,13,11,0,False
73,13,11,1,13,11,0,False
76,13,11,2,13,10,0,False
77,13,10,0,12,10,0,False
79,12,11,1,13,11,0,False
80,13,11,0,12,11,0,False
88,12,11,1,13,11,0,False
89,13,11,1,13,11,0,False
90,13,11,1,13,11,0,False
92,13,11,2,13,10,0,False
93,13,10,1,13,10,0,False
94,13,10,3,13,11,0,False
97,13,11,0,12,11,0,False
98,12,11,1,13,11,0,False
106,13,11,2,13,10,0,False
107,13,10,3,13,11,0,False
116,13,10,2,13,10,0,False
122,13,10,0,12,10,0,False
123,12,10,2,12,10,0,False
124,12,10,1,13,10,0,False
125,13,10,2,13,10,0,False
126,13,10,2,13,10,0,False
245,11,10,0,10,10,0,False
246,10,10,0,9,10,0,False
247,9,10,2,9,10,0,False
248,9,10,1,10,10,0,False
249,10,10,2,10,9,0,False
250,10,9,0,10,9,0,False
251,10,9,1,10,9,0,False
252,10,9,0,10,9,0,False
253,10,9,3,10,10,0,False
