@RELATION transition

@ATTRIBUTE Instance_number numeric
@ATTRIBUTE Function {'REPETITION', 'FULLY'}
@ATTRIBUTE N_Models NUMERIC
@ATTRIBUTE N_Epochs NUMERIC
@ATTRIBUTE Test_Split_Pctg NUMERIC
@ATTRIBUTE W1 NUMERIC
@ATTRIBUTE L1 NUMERIC

@DATA
0,REPETITION,2,4000,0.05,205,0
1,REPETITION,2,4000,0.25,222,0
2,REPETITION,2,5500,0.05,188,0
3,REPETITION,2,5500,0.25,203,0
4,REPETITION,2,7000,0.05,196,0
5,REPETITION,2,7000,0.25,192,0
6,REPETITION,3,4000,0.05,170,7
7,REPETITION,3,4000,0.25,159,12
8,REPETITION,3,5500,0.05,157,4
9,REPETITION,3,5500,0.25,173,12
10,REPETITION,3,7000,0.05,173,21
11,REPETITION,3,7000,0.25,163,16
12,REPETITION,4,4000,0.05,157,2
13,REPETITION,4,4000,0.25,159,3
14,REPETITION,4,5500,0.05,150,0
15,REPETITION,4,5500,0.25,165,4
16,REPETITION,4,7000,0.05,148,5
17,REPETITION,4,7000,0.25,149,13
18,REPETITION,5,4000,0.05,168,9
19,REPETITION,5,4000,0.25,153,7
20,REPETITION,5,5500,0.05,171,7
21,REPETITION,5,5500,0.25,156,13
22,REPETITION,5,7000,0.05,155,12
23,REPETITION,5,7000,0.25,165,25
24,REPETITION,6,4000,0.05,162,0
25,REPETITION,6,4000,0.25,164,4
26,REPETITION,6,5500,0.05,148,6
27,REPETITION,6,5500,0.25,147,11
28,REPETITION,6,7000,0.05,140,28
29,REPETITION,6,7000,0.25,155,20
30,REPETITION,7,4000,0.05,153,5
31,REPETITION,7,4000,0.25,155,15
32,REPETITION,7,5500,0.05,152,19
33,REPETITION,7,5500,0.25,158,14
34,REPETITION,7,7000,0.05,144,14
35,REPETITION,7,7000,0.25,146,34
36,REPETITION,8,4000,0.05,161,2
37,REPETITION,8,4000,0.25,159,5
38,REPETITION,8,5500,0.05,141,9
39,REPETITION,8,5500,0.25,157,12
40,REPETITION,8,7000,0.05,149,17
41,REPETITION,8,7000,0.25,143,16
42,REPETITION,9,4000,0.05,159,6
43,REPETITION,9,4000,0.25,154,8
44,REPETITION,9,5500,0.05,148,8
45,REPETITION,9,5500,0.25,143,25
46,REPETITION,9,7000,0.05,140,21
47,REPETITION,9,7000,0.25,145,28
48,REPETITION,10,4000,0.05,160,3
49,REPETITION,10,4000,0.25,156,12
50,REPETITION,10,5500,0.05,137,15
51,REPETITION,10,5500,0.25,154,15
52,REPETITION,10,7000,0.05,143,17
53,REPETITION,10,7000,0.25,143,18
54,REPETITION,11,4000,0.05,149,7
55,REPETITION,11,4000,0.25,150,12
56,REPETITION,11,5500,0.05,155,11
57,REPETITION,11,5500,0.25,151,19
58,REPETITION,11,7000,0.05,137,18
59,REPETITION,11,7000,0.25,145,26
60,REPETITION,12,4000,0.05,152,3
61,REPETITION,12,4000,0.25,163,7
62,REPETITION,12,5500,0.05,147,20
63,REPETITION,12,5500,0.25,135,17
64,REPETITION,12,7000,0.05,130,15
65,REPETITION,12,7000,0.25,145,28
66,REPETITION,13,4000,0.05,134,6
67,REPETITION,13,4000,0.25,148,16
68,REPETITION,13,5500,0.05,132,23
69,REPETITION,13,5500,0.25,124,22
70,REPETITION,13,7000,0.05,136,31
71,REPETITION,13,7000,0.25,126,33
72,REPETITION,14,4000,0.05,162,14
73,REPETITION,14,4000,0.25,152,12
74,REPETITION,14,5500,0.05,152,17
75,REPETITION,14,5500,0.25,144,16
76,REPETITION,14,7000,0.05,128,15
77,REPETITION,14,7000,0.25,136,29
78,REPETITION,15,4000,0.05,145,10
79,REPETITION,15,4000,0.25,154,15
80,REPETITION,15,5500,0.05,134,16
81,REPETITION,15,5500,0.25,134,9
82,REPETITION,15,7000,0.05,146,24
83,REPETITION,15,7000,0.25,139,31
84,REPETITION,16,4000,0.05,148,5
85,REPETITION,16,4000,0.25,151,9
86,REPETITION,16,5500,0.05,134,15
87,REPETITION,16,5500,0.25,145,18
88,REPETITION,16,7000,0.05,129,22
89,REPETITION,16,7000,0.25,129,32
90,REPETITION,17,4000,0.05,144,1
91,REPETITION,17,4000,0.25,149,21
92,REPETITION,17,5500,0.05,129,17
93,REPETITION,17,5500,0.25,140,15
94,REPETITION,17,7000,0.05,124,23
95,REPETITION,17,7000,0.25,127,26
96,REPETITION,18,4000,0.05,142,9
97,REPETITION,18,4000,0.25,147,8
98,REPETITION,18,5500,0.05,149,12
99,REPETITION,18,5500,0.25,141,14
100,REPETITION,18,7000,0.05,133,21
101,REPETITION,18,7000,0.25,136,21
102,REPETITION,19,4000,0.05,138,17
103,REPETITION,19,4000,0.25,150,15
104,REPETITION,19,5500,0.05,141,14
105,REPETITION,19,5500,0.25,147,19
106,REPETITION,19,7000,0.05,136,29
107,REPETITION,19,7000,0.25,125,35
108,REPETITION,20,4000,0.05,142,4
109,REPETITION,20,4000,0.25,159,4
110,REPETITION,20,5500,0.05,129,18
111,REPETITION,20,5500,0.25,139,15
112,REPETITION,20,7000,0.05,127,23
113,REPETITION,20,7000,0.25,137,26
114,REPETITION,21,4000,0.05,141,10
115,REPETITION,21,4000,0.25,164,19
116,REPETITION,21,5500,0.05,136,18
117,REPETITION,21,5500,0.25,141,40
118,REPETITION,21,7000,0.05,136,29
119,REPETITION,21,7000,0.25,119,36
